מספר נייר,שם עברי, שווי שוק עכשווי , שווי שוק בשקלים ,מכפיל רווח רוב,מכפיל מכירות,מכפיל הון רוב,סהכ הכנסות,שעור רווח נקי להון העצמי,שעור רווח נקי להון העצמי באחוזים,שעור רווח תפעולי, הון רשום למסחר ,ענף פעילות, סך המאזן , הון עצמי ,הון למאזן,הון למאזן באחוזים, רווח תפעולי , רווח לפני מס , רווח נקי , רווח נקי בשקלים , דיבידנד ,תשואת דיבידנד,תשואת דיבידנד באחוזים,תשואה חודש,תשואה 3 חודשים ז.א,תשואה חצי שנה,תשואה שנה,תשואה 3 שנים,תכמ חודש,סטיית תקן חודש,שער מינ חודש,שער מקס חודש,יחסי למינ חודש,יחסי מקס חודש,שער בסיס חודש
273011,נייס," 43,381 "," 43,380,762,000 ",31.73,4.73,3.38,2464958,14.92,14.92%,18.68," 62,870,669 ",טכנולוגיה," 5,046,578 "," 3,458,301 ",68.5276,68.53%," 460,408 "," 490,920 "," 367,733 "," 367,733,000 ",,,0.00%,-15.32%,-22.65%,-5.67%,-13.42%,-5.23%,88404,43.93%,69310,85090,-0.16%,-18.67%,83380
1166974,משק אנרגיה," 1,990 "," 1,989,620,000 ",189.58,23.98,0.83,82982,12.65,12.65%,16.78," 710,578,357 ",חיפושי נפט וגז," 3,503,682 "," 2,379,731 ",67.9209,67.92%," 13,923 "," 3,181 "," 9,800 "," 9,800,000 ",,,0.00%,5.99%,-7.78%,-0.15%,-29.18%,-24.79%,1806,26.74%,240,278.8,16.67%,0.43%,262
1084557,נובה," 22,658 "," 22,657,711,000 ",43.99,11.55,7.7,527527,26.26,26.26%,25.35," 29,044,620 ",טכנולוגיה," 1,189,572 "," 791,781 ",66.5602,66.56%," 133,746 "," 157,454 "," 138,543 "," 138,543,000 ",,,0.00%,26.57%,27.34%,62.02%,88.92%,137.46%,34022,21.39%,63200,80900,-5.06%,-25.83%,63220
1129543,אופקו הלת'," 3,478 "," 3,478,350,000 ",-3.71,1.17,0.75,799599,-31.57,-31.57%,-24.9," 682,029,288 ",ביומד," 1,974,016 "," 1,252,808 ",63.4649,63.46%," -199,113 "," -250,511 "," -252,457 "," -252,457,000 ",,,0.00%,15.83%,43.29%,-9.33%,2.83%,-57.11%,1628,39.47%,427,535,19.67%,-4.49%,461.9
1095835,איירפורט סיטי," 6,734 "," 6,733,630,000 ",22.25,6.48,0.68,1038772,29.13,29.13%,55.25," 120,243,460 ",נדלן ובניה," 18,451,003 "," 9,988,993 ",54.1379,54.14%," 573,907 "," 425,643 "," 306,568 "," 306,568,000 ",,,0.00%,-4.41%,-11.23%,-9.19%,11.63%,-7.40%,7534,20.00%,5184,6029,8.02%,-7.12%,5764
755017,אקויטל," 3,706 "," 3,705,770,000 ",9.6,1.18,0.67,3134282,12.31,12.31%,61.45," 36,331,037 ",השקעות ואחזקות," 24,943,189 "," 13,058,449 ",52.3528,52.35%," 1,926,106 "," 1,378,904 "," 1,030,528 "," 1,030,528,000 ",,,0.00%,6.40%,-9.45%,-0.29%,13.50%,17.24%,2540,32.66%,10030,10990,1.69%,-7.19%,10000
1202977,ישרס אחזקות," 1,922 "," 1,922,330,000 ",,,0.68,,,0.00%,," 6,401,362 ",נדלן ובניה," 9,848,602 "," 4,896,547 ",49.7182,49.72%,,,, -   ,,,0.00%,2.60%,0.33%,%,%,%,2380,35.28%,27880,32850,7.71%,-8.58%,29270
288019,סקופ," 1,463 "," 1,462,990,000 ",9.98,0.88,1.42,1654726,8.86,8.86%,12.71," 12,191,549 ",מסחר ושרותים," 2,157,618 "," 1,027,366 ",47.6158,47.62%," 210,380 "," 195,470 "," 146,559 "," 146,559,000 "," 126,440 ",,0.00%,-5.29%,1.37%,21.27%,-6.76%,29.29%,3717,17.83%,11830,12960,1.44%,-7.41%,12670
1170877,נופר אנרג'י," 3,202 "," 3,201,840,000 ",-38.41,11.06,1.78,289583,-28.78,-28.78%,-27.02," 35,540,512 ",טכנולוגיה," 6,181,984 "," 2,722,716 ",44.0428,44.04%," -78,242 "," -140,195 "," -109,408 "," -109,408,000 ",,,0.00%,-0.12%,0.25%,3.12%,2.70%,-3.98%,3390,35.87%,8201,9215,9.85%,-2.24%,9111
1166768,דוראל אנרגיה," 1,948 "," 1,948,190,000 ",-40.29,16.26,0.98,119848,-40.35,-40.35%,-63.28," 177,754,863 ",טכנולוגיה," 4,579,274 "," 2,003,870 ",43.7596,43.76%," -75,842 "," -74,450 "," -68,254 "," -68,254,000 ",,,0.00%,3.10%,42.11%,93.35%,49.10%,-24.30%,2623,35.56%,1001,1124,9.49%,-2.49%,1066
1141571,או פי סי אנרגיה," 7,856 "," 7,855,560,000 ",79.35,2.94,2.02,2671000,3.71,3.71%,15.69," 224,444,498 ",חיפושי נפט וגז," 12,580,000 "," 5,274,000 ",41.9237,41.92%," 419,000 "," 179,000 "," 105,000 "," 105,000,000 "," 200,000 ",,0.00%,0.03%,12.35%,24.07%,26.91%,-15.34%,6913,28.26%,2718,3030,28.77%,15.51%,2869
1083484,פרטנר," 3,215 "," 3,214,680,000 ",16.92,0.97,1.59,3330000,5.71,5.71%,8.8," 186,250,178 ",מסחר ושרותים," 4,827,000 "," 2,018,000 ",41.8065,41.81%," 293,000 "," 255,000 "," 190,000 "," 190,000,000 ",,,0.00%,-0.23%,-2.99%,3.56%,12.98%,16.40%,2969,29.12%,1602,1757,7.74%,-1.76%,1730
1175116,נאייקס," 3,432 "," 3,431,750,000 ",-60.24,3.74,5.83,247048,-6.2,-6.20%,-3.51," 35,900,672 ",טכנולוגיה," 403,878 "," 158,187 ",39.167,39.17%," -8,683 ",," -15,323 "," -15,323,000 ",,,0.00%,-4.31%,-4.67%,31.27%,48.09%,-3.36%,8088,51.02%,8718,11120,11.84%,-12.32%,9990
1188242,שוב אנרגיה," 2,512 "," 2,511,970,000 ",18.37,21.15,1.41,118796,115.09,115.09%,174.42," 916,776,440 ",חיפושי נפט וגז," 4,933,008 "," 1,777,240 ",36.0275,36.03%," 207,207 "," 233,793 "," 136,634 "," 136,634,000 ",,,0.00%,5.71%,-6.01%,5.71%,-13.22%,%,739,30.30%,252.5,276.9,8.51%,-1.05%,255.6
1187962,קרסו נדלן," 1,403 "," 1,403,250,000 ",62.68,3.14,1.09,446327,5.02,5.02%,18.7," 54,158,516 ",נדלן ובניה," 3,836,633 "," 1,307,598 ",34.0819,34.08%," 83,464 "," 22,493 "," 22,565 "," 22,565,000 ",,,0.00%,-3.28%,-9.56%,-2.68%,13.56%,%,789,36.01%,2446,2789,5.93%,-7.10%,2679
1101534,סלקום," 2,384 "," 2,384,190,000 ",24.59,0.53,1.03,1199065.59,2.17,2.17%,7.3," 165,568,903 ",מסחר ושרותים," 1,824,931 "," 621,230 ",34.0413,34.04%," 87,528 "," 41,051 "," 26,073 "," 26,073,210 ",,,0.00%,-10.37%,-5.65%,13.45%,3.79%,14.16%,2460,33.76%,1375,1682,4.73%,-14.39%,1630
1141969,נאוויטס פטר יהש," 3,923 "," 3,922,650,000 ",168.64,11.58,2.79,91097,6.87,6.87%,25.82," 99,838,252 ",חיפושי נפט וגז," 1,336,809 "," 450,534 ",33.7022,33.70%," 23,519 "," 22,465 "," 17,116 "," 17,116,000 ",,,0.00%,2.05%,-5.69%,24.94%,116.64%,112.89%,9961,41.51%,3630,4399,8.24%,-10.68%,3850
720011,אנלייט אנרגיה," 7,819 "," 7,818,700,000 ",33.02,7.64,1.79,275105,23.15,23.15%,35.97," 118,465,215 ",טכנולוגיה," 4,633,460 "," 1,443,409 ",31.1519,31.15%," 98,946 "," 115,197 "," 63,693 "," 63,693,000 ",,,0.00%,5.25%,4.44%,0.88%,-4.07%,-2.67%,17014,30.68%,6109,6865,8.33%,-3.60%,6090
126011,ג'י סיטי," 1,713 "," 1,712,680,000 ",-2.22,0.7,0.37,2455000,-31.41,-31.41%,13.77," 186,160,846 ",נדלן ובניה," 38,512,000 "," 11,432,000 ",29.6843,29.68%," 338,000 "," -636,000 "," -836,000 "," -836,000,000 "," 196,878 ",,0.00%,-14.18%,-18.82%,-21.66%,-17.46%,-58.88%,5238,31.99%,880,1101,4.55%,-16.44%,1072
629014,טבע," 71,897 "," 71,896,969,000 ",-41.95,1.21,2.66,16021000,-2.88,-2.88%,20.9," 1,132,592,397 ",ביומד," 42,773,000 "," 7,543,000 ",17.635,17.64%," 3,348,000 "," -799,000 "," -460,000 "," -460,000,000 ",,,0.00%,18.67%,32.82%,72.25%,127.63%,81.51%,105332,47.21%,5125,6297,25.07%,1.79%,5174
1107663,בי קומיונקיישנס," 1,322 "," 1,321,820,000 ",23262.23,,5.76,,,0.00%,," 104,162,263 ",מסחר ושרותים," 4,913,612 "," 737,233 ",15.0039,15.00%,,,, -   ,,,0.00%,-0.70%,-6.48%,-10.27%,6.03%,77.74%,1365,34.79%,1203,1388,5.49%,-8.57%,1278
5010129,אלקטרה צריכה," 1,833 "," 1,833,120,000 ",-25.4,0.27,2.89,6758536,-1.07,-1.07%,0.74," 23,204,048 ",מסחר ושרותים," 7,929,768 "," 1,032,417 ",13.0195,13.02%," 49,779 "," -163,138 "," -226,344 "," -226,344,000 "," 60,000 ",,0.00%,-1.10%,-11.40%,8.45%,-14.04%,-50.71%,1956,39.10%,7031,8310,12.36%,-4.93%,7988
224014,כלל עסקי ביטוח," 4,823 "," 4,823,450,000 ",13.78,0.19,0.55,24919000,1.4,1.40%,," 79,072,966 ",ביטוח," 164,765,000 "," 8,817,000 ",5.3513,5.35%,," 567,000 "," 353,000 "," 353,000,000 ",,,0.00%,-3.89%,-13.68%,8.04%,14.05%,-9.42%,6500,30.86%,5645,6462,8.06%,-5.60%,6305
1087824,אל על," 2,061 "," 2,061,090,000 ",2.43,0.2,-7.86,2741103,8.33,8.33%,13.82," 411,394,957 ",מסחר ושרותים," 3,695,700 "," -91,200 ",-2.4677,-2.47%," 378,950 "," 250,678 "," 231,581 "," 231,581,000 ",,,0.00%,-0.62%,-6.57%,75.31%,26.89%,33.29%,37696,36.60%,490.1,554,2.22%,-9.57%,504
