מספר נייר,שם עברי, שווי שוק עכשווי , שווי שוק בשקלים ,מכפיל רווח רוב,מכפיל מכירות,מכפיל הון רוב,סהכ הכנסות,שעור רווח נקי להון העצמי,שעור רווח נקי להון העצמי באחוזים,שעור רווח תפעולי, הון רשום למסחר ,ענף פעילות, סך המאזן , הון עצמי ,הון למאזן,הון למאזן באחוזים, רווח תפעולי , רווח לפני מס , רווח נקי , רווח נקי בשקלים , דיבידנד ,תשואת דיבידנד,תשואת דיבידנד באחוזים,תשואה חודש,תשואה 3 חודשים ז.א,תשואה חצי שנה,תשואה שנה,תשואה 3 שנים,תכמ חודש,סטיית תקן חודש,שער מינ חודש,שער מקס חודש,יחסי למינ חודש,יחסי מקס חודש,שער בסיס חודש
1132356,אינרום," 1,587 "," 1,587,130,000 ",8.76,1.6,1.51,992657,18.25,18.25%,25.4," 145,742,221 ",תעשיה," 1,641,678 "," 1,054,199 ",64.2147,64.21%," 252,101 "," 241,133 "," 181,175 "," 181,175,000 "," 33,258 ",1.37,1.37%,-12.29%,-11.91%,7.52%,-15.38%,-32.45%,4155,35.13%,1050,1258,3.71%,-13.43%,1229
1176593,נקסט ויז'ן," 4,557 "," 4,557,470,000 ",32.23,17.35,15.05,70645,53.84,53.84%,57.29," 79,260,350 ",טכנולוגיה," 96,508 "," 81,426 ",84.3723,84.37%," 40,473 "," 43,784 "," 38,038 "," 38,038,000 ",,1.34,1.34%,13.77%,32.46%,106.66%,290.18%,%,20291,39.46%,4918,5926,16.10%,-3.64%,5019
642017,לפידות קפיטל," 3,307 "," 3,306,730,000 ",13.81,0.45,1.52,7380408,3.24,3.24%,6.18," 61,865,841 ",השקעות ואחזקות," 7,997,664 "," 3,448,729 ",43.1217,43.12%," 455,792 "," 492,291 "," 384,112 "," 384,112,000 "," 80,000 ",1.34,1.34%,-8.79%,-7.78%,-2.61%,-6.51%,46.33%,723,25.47%,5260,6166,1.62%,-13.31%,5860
1081165,מגדל ביטוח," 4,684 "," 4,683,570,000 ",7.92,0.15,0.54,32098094,1.84,1.84%,," 1,053,908,234 ",ביטוח," 208,434,417 "," 8,710,180 ",4.1789,4.18%,," 897,946 "," 593,088 "," 593,088,000 "," 47,000 ",1.33,1.33%,-6.83%,-7.01%,3.88%,7.43%,-1.87%,7819,29.78%,433.8,497.9,2.44%,-10.75%,477
1084698,חילן," 4,784 "," 4,783,760,000 ",21.41,1.79,4.68,2678668,8.34,8.34%,11.21," 22,932,677 ",טכנולוגיה," 2,308,144 "," 1,038,573 ",44.996,45.00%," 300,179 "," 290,209 "," 224,450 "," 224,450,000 "," 22,543 ",1.32,1.32%,-2.30%,2.14%,10.87%,27.48%,36.25%,13239,17.39%,20300,22450,2.76%,-7.08%,21350
1080985,ישרוטל," 4,875 "," 4,875,400,000 ",18.73,2.74,2.17,1780176,14.62,14.62%,20.58," 59,448,877 ",מסחר ושרותים," 4,290,034 "," 2,272,123 ",52.9628,52.96%," 366,283 "," 341,145 "," 262,660 "," 262,660,000 "," 35,000 ",1.3,1.30%,-3.73%,-6.04%,25.71%,15.16%,32.91%,4216,23.81%,7707,8599,6.41%,-4.63%,8519
1081603,פלסאון תעשיות," 1,353 "," 1,352,950,000 ",10.42,0.83,1.18,1633288,7.95,7.95%,10.55," 9,547,955 ",תעשיה," 2,261,909 "," 1,227,543 ",54.2702,54.27%," 172,271 "," 173,134 "," 128,569 "," 128,569,000 "," 57,288 ",1.12,1.12%,6.38%,-6.20%,-6.82%,-19.72%,-18.04%,2038,24.53%,13240,14790,7.02%,-4.19%,13320
314013,דנאל," 1,990 "," 1,990,010,000 ",-157.31,0.77,3.99,2569895,-0.49,-0.49%,2.72," 5,844,389 ",מסחר ושרותים," 1,329,242 "," 513,116 ",38.6022,38.60%," 69,942 "," 27,859 "," -14,354 "," -14,354,000 "," 105,454 ",1.1,1.10%,0.24%,-1.71%,16.93%,63.47%,-39.46%,5469,21.28%,32700,35760,4.13%,-4.78%,33970
1091065,מיטרוניקס," 1,995 "," 1,995,110,000 ",19.69,1.1,2.57,1821102,5.56,5.56%,11.07," 109,741,762 ",טכנולוגיה," 2,411,844 "," 853,314 ",35.3801,35.38%," 201,684 "," 143,330 "," 114,817 "," 114,817,000 "," 135,000 ",1.1,1.10%,-39.72%,-54.69%,-49.44%,-58.10%,-69.77%,12980,122.37%,1705,3390,11.96%,-43.69%,3167
715011,אזורים," 3,344 "," 3,344,060,000 ",19.55,2.39,1.59,1399782,12.22,12.22%,24.16," 210,981,898 ",נדלן ובניה," 7,158,665 "," 2,108,775 ",29.4577,29.46%," 338,178 "," 247,075 "," 171,011 "," 171,011,000 "," 40,000 ",1.04,1.04%,-6.05%,-16.75%,8.90%,72.29%,25.26%,2354,34.22%,1505,1757,5.32%,-9.79%,1687
1143429,פתאל החזקות," 6,821 "," 6,821,240,000 ",87.33,0.96,2.1,7088817,1.1,1.10%,16.57," 16,436,727 ",מסחר ושרותים," 27,100,482 "," 3,337,926 ",12.3169,12.32%," 1,174,527 "," 99,996 "," 78,711 "," 78,711,000 "," 60,000 ",1.01,1.01%,-6.32%,-13.03%,10.34%,27.44%,21.37%,17336,25.57%,41500,47900,2.87%,-10.88%,45570
373019,אאורה," 3,568 "," 3,568,120,000 ",20.31,3.2,3.59,1115883,15.75,15.75%,17.64," 279,195,670 ",נדלן ובניה," 3,308,344 "," 1,011,213 ",30.5655,30.57%," 196,831 "," 177,613 "," 176,555 "," 176,555,000 "," 8,000 ",1,1.00%,-13.05%,-4.75%,37.70%,142.96%,321.36%,7616,23.87%,1263,1515,1.19%,-15.64%,1471
1081124,אלביט מערכות," 33,135 "," 33,135,090,000 ",39.31,1.45,2.96,6135207,3.7,3.70%,6.2," 44,476,629 ",טכנולוגיה," 10,257,507 "," 3,011,095 ",29.355,29.36%," 380,575 "," 238,130 "," 226,737 "," 226,737,000 ",,0.96,0.96%,-5.43%,-9.78%,-3.36%,-1.46%,74.68%,47693,15.71%,70250,76000,6.05%,-1.97%,74340
1175611,תורפז," 1,758 "," 1,758,460,000 ",37.96,3.49,4.3,135457,9.2,9.20%,14.38," 100,368,861 ",תעשיה," 286,313 "," 115,067 ",40.1892,40.19%," 19,473 "," 16,036 "," 13,195 "," 13,195,000 ",,0.95,0.95%,-5.04%,30.99%,65.26%,75.49%,40.03%,3648,39.67%,1652,1845,6.05%,-5.04%,1845
1168533,מספנות ישראל," 1,517 "," 1,517,250,000 ",20.1,1.08,1.67,1402766,5.38,5.38%,7.32," 25,000,000 ",השקעות ואחזקות," 1,706,327 "," 916,824 ",53.7308,53.73%," 102,614 "," 93,341 "," 74,044 "," 74,044,000 "," 30,000 ",0.94,0.94%,-6.52%,-15.48%,-12.86%,-13.99%,-5.23%,382,26.66%,5978,6825,1.52%,-11.08%,6492
1102128,פרשקובסקי," 1,728 "," 1,727,620,000 ",67.15,4.34,0.96,398485,6.46,6.46%,18.61," 21,068,551 ",נדלן ובניה," 5,060,361 "," 1,798,866 ",35.5482,35.55%," 74,146 "," 35,530 "," 25,729 "," 25,729,000 ", -   ,0.92,0.92%,-6.45%,-12.40%,3.59%,9.78%,-17.31%,2506,25.80%,7800,9000,5.13%,-8.89%,8770
1176387,ורידיס," 2,612 "," 2,611,520,000 ",-23.45,0.98,1.43,2670067,-4.17,-4.17%,2.05," 145,165,310 ",טכנולוגיה," 5,613,321 "," 1,824,680 ",32.5062,32.51%," 54,688 "," -128,477 "," -120,586 "," -120,586,000 "," 32,000 ",0.77,0.77%,11.95%,-8.41%,-14.06%,9.01%,%,1800,55.82%,1598,1828,12.58%,-1.59%,1607
