מספר נייר,שם עברי, שווי שוק עכשווי ,מכפיל רווח רוב,מכפיל מכירות,מכפיל הון רוב,סהכ הכנסות,שעור רווח נקי רוב,שעור רווח תפעולי, הון רשום למסחר ,ענף פעילות, סך המאזן , הון עצמי ,הון למאזן, רווח תפעולי , רווח לפני מס , רווח נקי , דיבידנד ,תשואת דיבידנד,תשואה חודש,תשואה 3 חודשים ז.א,תשואה חצי שנה,תשואה שנה,תשואה 3 שנים,תכמ חודש,סטיית תקן חודש,שער מינ חודש,שער מקס חודש,יחסי למינ חודש,יחסי מקס חודש,שער בסיס חודש
373019,אאורה," 3,568 ",20.31,3.2,3.59,1115883,15.75,17.64," 279,195,670 ",נדלן ובניה," 3,308,344 "," 1,011,213 ",30.5655," 196,831 "," 177,613 "," 176,555 "," 8,000 ",1,-13.05%,-4.75%,37.70%,142.96%,321.36%,7616,23.87%,1263,1515,1.19%,-15.64%,1471
390013,אלוני חץ," 4,371 ",-1.74,-5.75,0.94,-760337,,," 179,722,472 ",נדלן ובניה," 38,453,745 "," 10,698,776 ",27.8225,," -2,181,108 "," -2,282,206 "," 292,482 ",4.93,-0.02%,-4.28%,-1.66%,-9.13%,-40.77%,13204,34.82%,2311,2712.59,5.24%,-10.34%,2450.56
394015,רציו      יהש," 3,091 ",6.64,2.78,1.96,299482,41.79,70.8," 1,123,871,146 ",חיפושי נפט וגז," 1,194,206 "," 425,027 ",35.5908," 212,038 "," 164,022 "," 125,168 ",,5.89,-7.81%,3.04%,1.95%,6.78%,134.48%,5759,28.26%,262.6,299.7,4.72%,-8.24%,298.3
400010,דוניץ," 1,705 ",799.87,5.96,1.7,286122,0.74,7.63," 8,971,133 ",נדלן ובניה," 1,971,107 "," 1,007,589 ",51.1179," 21,831 "," 4,394 "," 2,122 "," 74,329 ",4.95,-8.70%,-6.88%,3.61%,12.34%,41.74%,1482,29.92%,18280,21510,3.94%,-11.67%,20810
416016,וילאר," 2,466 ",10.04,7.79,0.77,316456,77.62,97.56," 17,717,618 ",נדלן ובניה," 4,595,973 "," 3,228,141 ",70.2385," 308,728 "," 317,568 "," 249,368 "," 30,000 ",1.4,-11.39%,-5.87%,-8.24%,-1.91%,-10.88%,808,25.75%,13810,16200,0.80%,-14.07%,15710
431015,אייאיאס," 1,160 ",16.69,16.64,0.76,69714,99.7,78.52," 5,739,099 ",נדלן ובניה," 1,828,161 "," 1,519,391 ",83.1103," 54,742 "," 83,305 "," 69,505 "," 7,905 ",0.47,-1.46%,-13.13%,-1.58%,-26.63%,-4.50%,1067,19.45%,19980,22200,1.15%,-8.96%,20510
434019,ישראל קנדה," 4,206 ",33.84,6.67,1.89,630990,19.7,23.61," 322,565,629 ",נדלן ובניה," 8,628,209 "," 3,054,464 ",35.4009," 148,985 "," 188,271 "," 162,007 "," 56,000 ",0.55,-8.30%,-8.80%,36.33%,79.99%,-1.76%,5040,36.48%,1250,1494,4.32%,-12.72%,1422
445015,מטריקס," 4,681 ",19.9,0.87,4.55,5394665,4.36,7.46," 63,522,076 ",טכנולוגיה," 4,089,478 "," 1,083,410 ",26.4926," 402,632 "," 334,704 "," 252,931 "," 155,601 ",4.39,-2.20%,-2.87%,4.34%,7.38%,-2.46%,4973,20.97%,7264,7999,2.70%,-6.74%,7535
475020,ניו-מד אנרג יהש," 11,034 ",6.84,3.22,1.89,920741,47.14,72.21," 1,173,814,691 ",חיפושי נפט וגז," 3,903,977 "," 1,573,892 ",40.3151," 664,835 "," 577,413 "," 434,073 "," 250,000 ",4.98,-5.04%,-2.42%,-1.91%,-7.61%,141.30%,8400,17.12%,911,980.3,4.72%,-2.68%,965
566018,מנורה מב החז," 5,217 ",7.71,0.38,0.8,13783271,4.91,," 61,958,603 ",ביטוח," 71,651,505 "," 6,680,676 ",9.3238,," 1,059,447 "," 704,291 "," 100,000 ",4.46,5.35%,-4.06%,8.76%,27.84%,74.36%,8719,25.40%,8871,9574,-5.08%,-12.05%,9041
576017,חברה לישראל," 6,889 ",8.5,0.26,0.67,7173000,3.04,12.07," 7,570,147 ",השקעות ואחזקות," 12,768,000 "," 6,370,000 ",49.8904," 866,000 "," 713,000 "," 527,000 ",,1.83,-0.66%,-5.15%,-4.05%,-5.64%,-12.25%,7642,33.73%,85470,94350,6.47%,-3.55%,87500
585018,הראל השקעות," 6,672 ",8.97,0.25,0.76,26907000,2.77,," 206,884,729 ",ביטוח," 146,344,000 "," 8,807,000 ",6.018,," 1,046,000 "," 755,000 "," 400,000 ",4.54,-5.90%,-5.21%,21.06%,14.79%,10.52%,9977,23.75%,3066,3520,6.00%,-7.67%,3374
593038,בינלאומי," 15,110 ",7.16,1.27,1.22,11943000,17.67,26.69," 100,330,040 ",בנקים," 225,941,000 "," 12,952,000 ",5.7325," 3,187,000 "," 3,187,000 "," 2,199,000 "," 1,085,000 ",3.72,3.43%,-0.87%,2.53%,9.71%,70.79%,28168,19.29%,14330,15140,6.84%,1.12%,14560
604611,לאומי," 46,287 ",5.24,1.11,0.81,41548000,21.25,31.73," 1,522,610,383 ",בנקים," 753,673,000 "," 57,133,000 ",7.5806," 13,185,000 "," 13,185,000 "," 8,831,000 "," 2,907,241 ",3.89,6.52%,4.18%,11.60%,22.35%,35.99%,138529,18.32%,2860,3094,7.52%,-0.61%,2882
612010,הכשרת הישוב," 1,267 ",27.91,1.32,0.81,961388,4.72,15.89," 40,459,748 ",נדלן ובניה," 9,310,506 "," 2,846,658 ",30.5747," 152,787 "," 48,566 "," 20,637 "," 46,000 ",4.51,-3.75%,-4.12%,1.11%,26.44%,-19.26%,1641,32.03%,2986,3297,4.86%,-5.03%,3253
613034,ישרס," 3,741 ",-2626.4,,0.99,,,," 5,154,782 ",נדלן ובניה," 2,121,613 "," 1,087,057 ",51.2373,,,,,6.29,0.99%,0.62%,3.01%,15.16%,14.80%,3374,25.17%,67250,75340,7.91%,-3.68%,71860
627034,דלתא גליל," 4,290 ",13.2,0.62,1.57,1866004,4.69,8.39," 25,904,283 ",תעשיה," 1,819,837 "," 764,602 ",42.0149," 156,503 "," 118,215 "," 94,375 ",,2.2,-0.87%,-4.18%,15.20%,23.95%,48.73%,2568,22.30%,15444.74,16944.52,7.22%,-2.27%,16706.14
629014,טבע," 71,897 ",-41.95,1.21,2.66,16021000,-2.88,20.9," 1,132,592,397 ",ביומד," 42,773,000 "," 7,543,000 ",17.635," 3,348,000 "," -799,000 "," -460,000 ",,,18.67%,32.82%,72.25%,127.63%,81.51%,105332,47.21%,5125,6297,25.07%,1.79%,5174
642017,לפידות קפיטל," 3,307 ",13.81,0.45,1.52,7380408,3.24,6.18," 61,865,841 ",השקעות ואחזקות," 7,997,664 "," 3,448,729 ",43.1217," 455,792 "," 492,291 "," 384,112 "," 80,000 ",1.34,-8.79%,-7.78%,-2.61%,-6.51%,46.33%,723,25.47%,5260,6166,1.62%,-13.31%,5860
643015,נפטא," 1,867 ",6.14,0.9,1.47,2069082,14.69,64.14," 94,166,944 ",חיפושי נפט וגז," 6,216,187 "," 3,158,533 ",50.8114," 1,327,121 "," 927,415 "," 706,414 "," 400,000 ",19.82,5.37%,2.04%,12.45%,28.44%,110.19%,1432,21.29%,1822,1983,8.84%,0.00%,1882
662577,פועלים," 46,177 ",6.33,1.19,0.85,38791000,18.79,29.04," 1,337,682,310 ",בנקים," 665,893,000 "," 54,048,000 ",8.1166," 11,263,000 "," 11,263,000 "," 7,290,000 "," 1,478,800 ",6.99,3.27%,2.29%,10.60%,21.25%,39.19%,119475,19.75%,3194.06,3418,11.68%,4.36%,3292.37
691212,דיסקונט       א," 26,435 ",6.65,1.02,0.9,26024000,15.27,23.85," 1,237,011,293 ",בנקים," 390,097,000 "," 30,227,000 ",7.7486," 6,206,000 "," 6,206,000 "," 4,010,000 "," 446,800 ",4.15,1.33%,4.51%,8.26%,11.56%,27.93%,71394,19.67%,1790.18,1913.54,19.37%,11.68%,1874.07
694034,אלקו," 2,835 ",-8.26,0.15,1.28,18964634,-1.81,0.27," 26,921,067 ",השקעות ואחזקות," 24,833,225 "," 5,084,080 ",20.4729," 50,866 "," -444,923 "," -560,694 "," 70,000 ",1.54,-6.57%,-19.55%,-0.14%,-18.38%,-39.80%,2186,21.04%,10210,11420,3.13%,-7.79%,11270
695437,מזרחי טפחות," 39,983 ",8.3,1.48,1.4,27039000,17.81,28.59," 258,285,844 ",בנקים," 450,683,000 "," 29,868,000 ",6.6273," 7,730,000 "," 7,730,000 "," 4,982,000 "," 1,507,300 ",2.55,1.03%,-1.95%,4.10%,19.26%,54.98%,79306,21.07%,12958.87,13737.38,19.45%,12.69%,13353.05
699017,נכסים ובנין," 1,292 ",-2.34,0.86,0.38,1501000,-36.71,16.86," 7,383,332 ",נדלן ובניה," 22,354,000 "," 6,122,000 ",27.3866," 253,000 "," -48,000 "," -420,000 "," 100,000 ",6.21,-8.28%,-14.17%,6.47%,7.77%,-54.40%,2775,34.35%,16670,20320,4.98%,-13.88%,19320
715011,אזורים," 3,344 ",19.55,2.39,1.59,1399782,12.22,24.16," 210,981,898 ",נדלן ובניה," 7,158,665 "," 2,108,775 ",29.4577," 338,178 "," 247,075 "," 171,011 "," 40,000 ",1.04,-6.05%,-16.75%,8.90%,72.29%,25.26%,2354,34.22%,1505,1757,5.32%,-9.79%,1687
720011,אנלייט אנרגיה," 7,819 ",33.02,7.64,1.79,275105,23.15,35.97," 118,465,215 ",טכנולוגיה," 4,633,460 "," 1,443,409 ",31.1519," 98,946 "," 115,197 "," 63,693 ",,,5.25%,4.44%,0.88%,-4.07%,-2.67%,17014,30.68%,6109,6865,8.33%,-3.60%,6090
739037,אלקטרה," 5,144 ",22.85,0.44,3.06,11640970,1.93,3.93," 3,838,483 ",השקעות ואחזקות," 11,085,664 "," 1,976,987 ",17.8337," 457,881 "," 354,508 "," 257,192 "," 80,000 ",1.54,-7.67%,-14.44%,-6.55%,-15.60%,-25.22%,7447,28.68%,125710,145750,6.59%,-8.06%,142420
746016,שטראוס," 7,379 ",23.96,1.08,2.55,6808000,4.52,8.31," 116,564,964 ",תעשיה," 8,654,000 "," 3,196,000 ",36.9309," 566,000 "," 466,000 "," 379,000 "," 290,000 ",3.34,-12.79%,-11.56%,-12.70%,-26.25%,-29.78%,10197,26.34%,6027,7007,5.03%,-9.66%,6980
755017,אקויטל," 3,706 ",9.6,1.18,0.67,3134282,12.31,61.45," 36,331,037 ",השקעות ואחזקות," 24,943,189 "," 13,058,449 ",52.3528," 1,926,106 "," 1,378,904 "," 1,030,528 ",,,6.40%,-9.45%,-0.29%,13.50%,17.24%,2540,32.66%,10030,10990,1.69%,-7.19%,10000
763011,פיבי," 5,566 ",5.2,0.58,1.02,9563000,11.19,34.83," 35,452,640 ",בנקים," 208,149,000 "," 11,827,000 ",5.682," 3,331,000 "," 3,331,000 "," 2,294,000 "," 519,500 ",6.71,3.67%,-0.40%,0.00%,14.97%,61.04%,4902,19.32%,15140,15980,3.70%,-1.75%,15240
767012,הפניקס," 10,211 ",9.7,0.36,0.97,28188040,3.73,," 252,753,536 ",ביטוח," 158,078,292 "," 10,899,906 ",6.8953,," 1,553,804 "," 1,166,382 "," 621,000 ",3.88,-1.34%,-4.64%,3.04%,-2.23%,36.85%,13275,18.13%,3447,3756,17.20%,7.56%,3590
777037,שופרסל," 6,310 ",18.84,0.41,1.87,15249000,2.2,4.06," 265,689,138 ",מסחר ושרותים," 15,197,000 "," 3,475,000 ",22.8664," 619,000 "," 474,000 "," 346,000 "," 140,000 ",2.69,-1.61%,-0.18%,49.24%,33.15%,-4.00%,34762,34.53%,2360,2571,1.99%,-6.38%,2490
829010,דלק רכב," 1,844 ",16.42,0.32,1.26,5684504,1.97,6.65," 96,975,959 ",מסחר ושרותים," 9,953,097 "," 2,660,049 ",26.7258," 378,197 "," 81,129 "," 30,567 "," 889,731 ",7.58,-4.99%,-17.57%,-14.94%,-23.04%,-33.99%,2945,33.11%,1904,2257,0.05%,-15.60%,2086
1080985,ישרוטל," 4,875 ",18.73,2.74,2.17,1780176,14.62,20.58," 59,448,877 ",מסחר ושרותים," 4,290,034 "," 2,272,123 ",52.9628," 366,283 "," 341,145 "," 262,660 "," 35,000 ",1.3,-3.73%,-6.04%,25.71%,15.16%,32.91%,4216,23.81%,7707,8599,6.41%,-4.63%,8519
1081074,איסתא," 1,286 ",10.91,3.41,0.91,376791,31.3,13.56," 17,184,498 ",מסחר ושרותים," 3,675,562 "," 1,527,251 ",41.5515," 51,102 "," 156,280 "," 131,824 "," 20,000 ",0.66,-6.09%,-9.69%,26.30%,3.27%,9.68%,691,20.58%,7127,8175,5.02%,-8.44%,7970
1081124,אלביט מערכות," 33,135 ",39.31,1.45,2.96,6135207,3.7,6.2," 44,476,629 ",טכנולוגיה," 10,257,507 "," 3,011,095 ",29.355," 380,575 "," 238,130 "," 226,737 ",,0.96,-5.43%,-9.78%,-3.36%,-1.46%,74.68%,47693,15.71%,70250,76000,6.05%,-1.97%,74340
1081165,מגדל ביטוח," 4,684 ",7.92,0.15,0.54,32098094,1.84,," 1,053,908,234 ",ביטוח," 208,434,417 "," 8,710,180 ",4.1789,," 897,946 "," 593,088 "," 47,000 ",1.33,-6.83%,-7.01%,3.88%,7.43%,-1.87%,7819,29.78%,433.8,497.9,2.44%,-10.75%,477
1081603,פלסאון תעשיות," 1,353 ",10.42,0.83,1.18,1633288,7.95,10.55," 9,547,955 ",תעשיה," 2,261,909 "," 1,227,543 ",54.2702," 172,271 "," 173,134 "," 128,569 "," 57,288 ",1.12,6.38%,-6.20%,-6.82%,-19.72%,-18.04%,2038,24.53%,13240,14790,7.02%,-4.19%,13320
1081686,סאמיט," 3,184 ",-17.22,3.36,0.7,948695,-19.48,-10.28," 73,922,823 ",נדלן ובניה," 10,808,729 "," 5,174,217 ",47.8707," -97,517 "," -241,153 "," -240,813 "," 12,500 ",0.41,-4.82%,-9.49%,-7.54%,-7.64%,-14.37%,1726,34.81%,4081,4893,5.54%,-11.98%,4525
1081942,שיכון ובינוי," 4,161 ",24.62,0.52,0.82,7993000,2.11,9.95," 547,552,105 ",נדלן ובניה," 27,485,000 "," 6,060,000 ",22.0484," 795,000 "," 558,000 "," 189,000 "," 60,000 ",1.46,-4.05%,-19.28%,-19.99%,3.17%,-61.22%,18458,32.35%,740.4,868,2.65%,-12.44%,802.7
1082312,מג'יק," 1,931 ",14.54,0.99,1.91,523332,6.83,10.93," 49,093,055 ",טכנולוגיה," 536,517 "," 296,485 ",55.2611," 57,188 "," 50,626 "," 35,720 ",,2.75,-10.87%,-0.68%,14.92%,-6.05%,-16.71%,3614,47.82%,3740,4769,5.19%,-17.51%,4414
1082379,טאואר," 15,585 ",8.52,3.01,1.7,1394307,35.27,12.73," 111,003,755 ",טכנולוגיה," 2,976,915 "," 2,462,569 ",82.7222," 177,485 "," 526,402 "," 491,726 ",,,13.27%,18.38%,35.58%,-5.26%,57.95%,25080,27.15%,12070,14030,17.32%,0.93%,12210
1082965,אודיוקודס," 1,125 ",27.4,1.23,1.65,245246,4.5,7.56," 30,204,901 ",טכנולוגיה," 336,133 "," 183,632 ",54.6308," 18,549 "," 17,571 "," 11,045 ",,2.98,-7.96%,-24.91%,-12.44%,15.17%,-62.83%,2336,64.43%,3554,4292,4.81%,-13.21%,4047
1083484,פרטנר," 3,215 ",16.92,0.97,1.59,3330000,5.71,8.8," 186,250,178 ",מסחר ושרותים," 4,827,000 "," 2,018,000 ",41.8065," 293,000 "," 255,000 "," 190,000 ",,,-0.23%,-2.99%,3.56%,12.98%,16.40%,2969,29.12%,1602,1757,7.74%,-1.76%,1730
1084128,דלק קבוצה," 7,859 ",6.04,0.65,0.81,12144000,10.71,36.63," 18,588,973 ",חיפושי נפט וגז," 44,698,000 "," 15,196,000 ",33.997," 4,448,000 "," 3,040,000 "," 2,077,000 "," 120,000 ",9.91,-4.11%,-7.98%,-6.12%,13.59%,195.27%,15354,24.90%,40420,44780,5.84%,-4.47%,44090
